Gene,Non-unique Gene name,Annotation,No. isolates
Cluster_14617,,,752
Cluster_11763,,,752
Cluster_12583,,,752
Cluster_18600,,,752
Cluster_19543,,,752
Cluster_17531,,,752
Cluster_9483,,,752
Cluster_21063,,,752
Cluster_18313,,,752
Cluster_13709,,,752
Cluster_14701,,,752
Cluster_16260,,,752
Cluster_15101,,,752
Cluster_13273,,,752
Cluster_15954,,,752
Cluster_12566,,,752
Cluster_15050,,,752
Cluster_20545,,,752
Cluster_13712,,,752
Cluster_13944,,,752
Cluster_5628,,,752
Cluster_9094,,,752
Cluster_18783,,,752
Cluster_6755,,,752
Cluster_12339,,,752
Cluster_22150,,,752
Cluster_21656,,,752
Cluster_12814,,,752
Cluster_17617,,,752
Cluster_16550,,,752
Cluster_14123,,,752
Cluster_14258,,,752
Cluster_10515,,,752
Cluster_10593,,,752
Cluster_14738,,,752
Cluster_15057,,,752
Cluster_20948,,,752
Cluster_13213,,,752
Cluster_14921,,,752
Cluster_17850,,,752
Cluster_14376,,,752
Cluster_21896,,,752
Cluster_16188,,,752
Cluster_12870,,,752
Cluster_13901,,,752
Cluster_12087,,,752
Cluster_9890,,,752
Cluster_16621,,,752
Cluster_9265,,,752
Cluster_10843,,,752
Cluster_3117,,,752
Cluster_21257,,,752
Cluster_19043,,,752
Cluster_17952,,,752
Cluster_18418,,,752
Cluster_12768,,,752
Cluster_21159,,,752
Cluster_14549,,,752
Cluster_21790,,,752
Cluster_20950,,,752
Cluster_17758,,,752
Cluster_13945,,,752
Cluster_13838,,,752
Cluster_17755,,,752
Cluster_20845,,,752
Cluster_18767,,,752
Cluster_17763,,,752
Cluster_4806,,,752
Cluster_10091,,,752
Cluster_12483,,,752
Cluster_20236,,,752
Cluster_21503,,,752
Cluster_9597,,,752
Cluster_10020,,,752
Cluster_20755,,,752
Cluster_13091,,,752
Cluster_20339,,,752
Cluster_16402,,,752
Cluster_15049,,,752
Cluster_13776,,,752
Cluster_10799,,,752
Cluster_10171,,,752
Cluster_12643,,,752
Cluster_20040,,,752
Cluster_5390,,,752
Cluster_13661,,,752
Cluster_14252,,,752
Cluster_11940,,,752
Cluster_21067,,,752
Cluster_17094,,,752
Cluster_6176,,,752
Cluster_17943,,,752
Cluster_13501,,,752
Cluster_21783,,,752
Cluster_10092,,,752
Cluster_8106,,,752
Cluster_21256,,,752
Cluster_5246,,,752
Cluster_20944,,,752
Cluster_14047,,,752
Cluster_20338,,,752
Cluster_17453,,,752
Cluster_4946,,,752
Cluster_17534,,,752
Cluster_6204,,,752
Cluster_10169,,,752
Cluster_19142,,,752
Cluster_17282,,,752
Cluster_17762,,,752
Cluster_6608,,,752
Cluster_21910,,,752
Cluster_21164,,,752
Cluster_7563,,,752
Cluster_14913,,,752
Cluster_5988,,,752
Cluster_13823,,,752
Cluster_22006,,,752
Cluster_11756,,,752
Cluster_16631,,,752
Cluster_14378,,,752
Cluster_19943,,,752
Cluster_16190,,,752
Cluster_6798,,,752
Cluster_21513,,,752
Cluster_8512,,,752
Cluster_16109,,,752
Cluster_19650,,,752
Cluster_10923,,,752
Cluster_19759,,,752
Cluster_16857,,,752
Cluster_12046,,,752
Cluster_13716,,,752
Cluster_22248,,,752
Cluster_13664,,,752
Cluster_8891,,,752
Cluster_17853,,,752
Cluster_14667,,,752
Cluster_15799,,,752
Cluster_18416,,,752
Cluster_14732,,,752
Cluster_6629,,,752
Cluster_14916,,,752
Cluster_14386,,,752
Cluster_18234,,,752
Cluster_8531,,,752
Cluster_21908,,,752
Cluster_21904,,,752
Cluster_8925,,,752
Cluster_11819,,,752
Cluster_16036,,,752
Cluster_18794,,,752
Cluster_17278,,,752
Cluster_18790,,,752
Cluster_15345,,,752
Cluster_14010,,,752
Cluster_8279,,,752
Cluster_18502,,,752
Cluster_15558,,,752
Cluster_17964,,,752
Cluster_20741,,,752
Cluster_11364,,,752
Cluster_20328,,,752
Cluster_21642,,,752
Cluster_8923,,,752
Cluster_20199,,,752
Cluster_22009,,,752
Cluster_9485,,,752
Cluster_6828,,,752
Cluster_9262,,,752
Cluster_16032,,,752
Cluster_13093,,,752
Cluster_13833,,,752
Cluster_4748,,,752
Cluster_19939,,,752
Cluster_18230,,,752
Cluster_19853,,,752
Cluster_12809,,,752
Cluster_10631,,,752
Cluster_12873,,,752
Cluster_19756,,,752
Cluster_10335,,,752
Cluster_11494,,,752
Cluster_21778,,,752
Cluster_14077,,,752
Cluster_13209,,,752
Cluster_12957,,,752
Cluster_19548,,,752
Cluster_15620,,,752
Cluster_7376,,,752
Cluster_22139,,,752
Cluster_16542,,,752
Cluster_14313,,,752
Cluster_17754,,,752
Cluster_19941,,,752
Cluster_15553,,,752
Cluster_8498,,,752
Cluster_9811,,,752
Cluster_16544,,,752
Cluster_21254,,,752
Cluster_10879,,,752
Cluster_15283,,,752
Cluster_22386,,,752
Cluster_13778,,,752
Cluster_11309,,,752
Cluster_17010,,,752
Cluster_14318,,,752
Cluster_17815,,,752
Cluster_8467,,,752
Cluster_22380,,,752
Cluster_16258,,,752
Cluster_12391,,,752
Cluster_6850,,,752
Cluster_13404,,,752
Cluster_11824,,,752
Cluster_18859,,,752
Cluster_8002,,,752
Cluster_21332,,,752
Cluster_17100,,,752
Cluster_15744,,,752
Cluster_6996,,,752
Cluster_20140,,,752
Cluster_9523,,,752
Cluster_2424,,,752
Cluster_17848,,,752
Cluster_22515,,,752
Cluster_13345,,,752
Cluster_17456,,,752
Cluster_22138,,,752
Cluster_12145,,,752
Cluster_7479,,,752
Cluster_17760,,,752
Cluster_8401,,,752
Cluster_15222,,,752
Cluster_22147,,,752
Cluster_18419,,,752
Cluster_15557,,,752
Cluster_19944,,,752
Cluster_16697,,,752
Cluster_14079,,,752
Cluster_7065,,,752
Cluster_16629,,,752
Cluster_14139,,,752
Cluster_18220,,,752
Cluster_19856,,,752
Cluster_14131,,,752
Cluster_20746,,,752
Cluster_13084,,,752
Cluster_22249,,,752
Cluster_18227,,,752
Cluster_15428,,,752
Cluster_15285,,,752
Cluster_13038,,,752
Cluster_16546,,,752
Cluster_17187,,,752
Cluster_15956,,,752
Cluster_15223,,,752
Cluster_15555,,,752
Cluster_6371,,,752
Cluster_11447,,,752
Cluster_17449,,,752
