"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"Cluster_190","","","169","32","170","381","49.852507374631266","92.25181598062953","11.836213235294117","2.744563811215582e-40","6.033100169814092e-36","3.943202725368688e-38"
"Cluster_20466","","","282","150","57","263","83.1858407079646","63.68038740920097","8.67438596491228","3.668986699695212e-40","8.065166563270015e-36","5.23712114498053e-38"
"Cluster_11688","","","14","181","325","232","4.129793510324483","56.17433414043583","0.05521461963450914","3.708831687119221e-40","8.152753814625471e-36","5.25984117072611e-38"
"Cluster_18427","","","302","183","37","230","89.08554572271386","55.690072639225185","10.258455176487963","4.514194699006646e-40","9.92310278735641e-36","6.360963325228469e-38"
"Cluster_21512","","","251","109","88","304","74.04129793510324","73.60774818401937","7.954962468723936","5.51643450868385e-40","1.2126226336988838e-35","7.72371104266805e-38"
"Cluster_18514","","","101","0","238","413","29.793510324483773","100.0","inf","7.642658433192086e-40","1.6800091767842843e-35","1.0632969473318255e-37"
"Cluster_2373","","","137","14","202","399","40.41297935103245","96.61016949152543","19.32920792079208","1.8383497177814628e-39","4.0410603496272117e-35","2.541547389702649e-37"
"Cluster_9198","","","118","336","221","77","34.80825958702065","18.64406779661017","0.1223604826546003","2.161072260910616e-39","4.750469043933716e-35","2.9690431524585728e-37"
"Cluster_11219","","","135","13","204","400","39.823008849557525","96.85230024213075","20.361990950226243","3.139316244621669e-39","6.900844968927353e-35","4.286239111135002e-37"
"Cluster_15678","","","39","230","300","183","11.504424778761061","44.30992736077482","0.10343478260869565","7.057701178769181e-39","1.5514238731170415e-34","9.576690574796552e-37"
"Cluster_1490","","","9","163","330","250","2.6548672566371683","60.53268765133172","0.04182933630786392","1.578050556897546e-38","3.4688707341721857e-34","2.0884067344479563e-36"
"Cluster_22019","","","0","128","339","285","0.0","69.00726392251816","0.0","1.5960892156639825e-38","3.5085233138725664e-34","2.0884067344479563e-36"
"Cluster_5336","","","0","128","339","285","0.0","69.00726392251816","0.0","1.5960892156639825e-38","3.5085233138725664e-34","2.0884067344479563e-36"
"Cluster_15498","","","0","128","339","285","0.0","69.00726392251816","0.0","1.5960892156639825e-38","3.5085233138725664e-34","2.0884067344479563e-36"
"Cluster_18866","","","0","128","339","285","0.0","69.00726392251816","0.0","1.5960892156639825e-38","3.5085233138725664e-34","2.0884067344479563e-36"
"Cluster_11059","","","0","128","339","285","0.0","69.00726392251816","0.0","1.5960892156639825e-38","3.5085233138725664e-34","2.0884067344479563e-36"
"Cluster_3610","","","0","127","339","286","0.0","69.24939467312349","0.0","3.695936924458708e-38","8.124408547345132e-34","4.807342335707179e-36"
"Cluster_5994","","","97","0","242","413","28.613569321533923","100.0","inf","4.1666087789825215e-38","9.159039417959379e-34","5.387670245858458e-36"
"Cluster_19765","","","302","189","37","224","89.08554572271386","54.23728813559322","9.673673673673674","4.6479310432700495e-38","1.0217082019316223e-33","5.9749017656820014e-36"
"Cluster_21798","","","123","9","216","404","36.283185840707965","97.82082324455206","25.561728395061728","5.72799691611176e-38","1.2591282820996871e-33","7.320513268021437e-36"
"Cluster_7834","","","139","17","200","396","41.00294985250738","95.88377723970945","16.18941176470588","6.793679098169672e-38","1.4933865393596574e-33","8.632292135026922e-36"
"Cluster_12445","","","0","126","339","287","0.0","69.49152542372882","0.0","8.617322289536853e-38","1.894259785685991e-33","1.0886550492448224e-35"
"Cluster_14453","","","122","9","217","404","35.9882005899705","97.82082324455206","25.237071172555044","1.525838102097383e-37","3.3540973160304674e-33","1.9166270377316957e-35"
"Cluster_5012","","","158","29","181","384","46.607669616519175","92.97820823244552","11.558773099638026","1.5631566588064855e-37","3.4361309673884164e-33","1.9523471405616002e-35"
"Cluster_12190","","","267","136","72","277","78.76106194690266","67.07021791767555","7.553002450980392","1.8442808216054133e-37","4.0540981020530195e-33","2.2904509051147004e-35"
"Cluster_6974","","","301","189","38","224","88.79056047197639","54.23728813559322","9.387914230019494","1.8787805263476308e-37","4.129935353017362e-33","2.3201884005715515e-35"
"Cluster_19053","","","0","125","339","288","0.0","69.73365617433413","0.0","2.0240839274990187e-37","4.449341289428343e-33","2.471856271904635e-35"
"Cluster_19267","","","0","125","339","288","0.0","69.73365617433413","0.0","2.0240839274990187e-37","4.449341289428343e-33","2.471856271904635e-35"
"Cluster_7222","","","103","2","236","411","30.383480825958703","99.51573849878935","89.6885593220339","2.275512108179745e-37","5.002030716200715e-33","2.763552881878848e-35"
"Cluster_19468","","","102","2","237","411","30.08849557522124","99.51573849878935","88.44303797468355","6.104085859943145e-37","1.341800153732702e-32","7.372528317212648e-35"
"Cluster_11944","","","0","123","339","290","0.0","70.2179176755448","0.0","1.1431089640736712e-36","2.512782124826744e-32","1.3731049862441224e-34"
"Cluster_17198","","","93","0","246","413","27.43362831858407","100.0","inf","2.1790437519145987e-36","4.789973975458671e-32","2.603246725792756e-34"
"Cluster_11886","","","323","238","16","175","95.28023598820059","42.3728813559322","14.84375","2.2479958021392997e-36","4.941544372262609e-32","2.6711050660878967e-34"
"Cluster_18147","","","2","130","337","283","0.5899705014749262","68.52300242130751","0.012919424788860991","7.749106406501886e-36","1.7034085702772446e-31","9.158110592888412e-34"
"Cluster_14267","","","16","173","323","240","4.71976401179941","58.111380145278446","0.06871991266844432","1.1251012293283567e-35","2.4731975223095937e-31","1.3225655199516543e-33"
"Cluster_7686","","","299","191","40","222","88.20058997050147","53.753026634382564","8.688219895287958","1.4727482585825997e-35","3.237395222016271e-31","1.7220187351150377e-33"
"Cluster_9559","","","147","25","192","388","43.36283185840708","93.94673123486683","11.8825","1.8023927335611246e-35","3.962019706914064e-31","2.0963067232349545e-33"
"Cluster_1933","","","107","5","232","408","31.563421828908556","98.78934624697337","37.63448275862069","2.575792981690249e-35","5.662108132351506e-31","2.9800569117639507e-33"
"Cluster_16113","","","0","118","339","295","0.0","71.42857142857143","0.0","2.9686731899056584e-35","6.525737406050618e-31","3.416616442958439e-33"
"Cluster_19860","","","7","146","332","267","2.0648967551622417","64.64891041162227","0.03855834296088463","5.590666072215299e-35","1.228940215994367e-30","6.400730291637328e-33"
"Cluster_22395","","","144","24","195","389","42.47787610619469","94.18886198547214","11.96923076923077","5.7649695521813e-35","1.2672556069604933e-30","6.566091227774576e-33"
"Cluster_20149","","","147","26","192","387","43.36283185840708","93.7046004842615","11.396033653846153","9.428403395039123e-35","2.0725516342975e-30","1.0683255846894329e-32"
"Cluster_925","","","105","5","234","408","30.973451327433626","98.78934624697337","36.61538461538461","1.7750109239303017e-34","3.901829012983589e-30","2.0009379553761995e-32"
